Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
7/3/22,19227.69,19625.32,18752.98,19290.68,3275.136164,00:00.0,62751846.51,102064,1631.00741,31256260.1,0
7/4/22,19292.88,20320,19034.13,20212.61,6404.379456,00:00.0,125871485.1,230523,3225.670599,63399405.99,0
7/5/22,20212.61,20728.5,19281.37,20157.22,9137.287715,00:00.0,182567417.2,291989,4509.291613,90119315.6,0
7/6/22,20155.19,20650,19734.34,20544.74,8316.786804,00:00.0,167763011.8,300326,4141.696901,83558755.04,0
7/7/22,20544.75,21835,20233,21615.25,8114.680857,00:00.0,169620506.3,283629,4085.136133,85396824.74,0
7/8/22,21619.66,22500.59,21172.41,21595.99,8915.04836,00:00.0,193965287.2,310080,4420.881306,96196126.56,0
7/9/22,21590.64,21980.88,21313.66,21581.42,5401.384965,00:00.0,116735030.3,244050,2653.023009,57346982.48,0
7/10/22,21581.54,21593.11,20632.99,20844.56,4889.43878,00:00.0,103233906.9,205861,2344.246156,49505284.04,0
7/11/22,20848.48,20851.78,19865.21,19946.01,7244.704395,00:00.0,148228330.6,240849,3497.724434,71575609.5,0
7/12/22,19942.06,20044.29,19226,19308.37,7402.306533,00:00.0,146132666.6,222250,3632.199588,71710985.87,0
7/13/22,19308.37,20326.63,18900,20219.7,9517.12487,00:00.0,186312419.6,253616,4646.121158,90970343.74,0
7/14/22,20220.27,20879.17,19588.9,20576.51,10528.84491,00:00.0,212358721.6,239729,5114.801757,103165505.1,0
7/15/22,20576.5,21191.81,20367.46,20825.45,7202.691179,00:00.0,149819862.6,209833,3479.372478,72374407.1,0
7/16/22,20824.72,21575.34,20477.03,21190.34,4799.276054,00:00.0,100711322.8,166808,2397.366955,50307968.06,0
7/17/22,21187.66,21657.49,20751.81,20798.5,4969.886569,00:00.0,105460676.3,180304,2432.704681,51637981.19,0
7/18/22,20796.23,22757.94,20754.57,22422.05,11288.74098,00:00.0,247622933.2,236777,5662.574201,124187802.4,0
7/19/22,22433.81,23800,21583.97,23392.19,15605.61387,00:00.0,353773817.4,295341,7773.855541,176268399.6,0
7/20/22,23392.18,24275.94,22915,23225.6,15777.66458,00:00.0,371995679.7,292174,7749.842171,182741523.1,0
7/21/22,23223.33,23431.71,22342.28,23151.58,10100.97622,00:00.0,231534067.8,203389,4948.17239,113446968.9,0
7/22/22,23154.89,23758.46,22507.15,22684.3,7196.81416,00:00.0,166899643.7,184670,3486.048326,80863325.86,0
7/23/22,22688.58,23000,21950,22449.31,4638.197531,00:00.0,104051326.2,92524,2258.458959,50675366.18,0
7/24/22,22456,23020,22266,22591.28,5182.093999,00:00.0,117489829.6,117800,2497.282683,56630426.89,0
7/25/22,22585.88,22670.5,21258.06,21316.22,7308.42268,00:00.0,160225126.4,157945,3405.421875,74670157.92,0
7/26/22,21309.85,21348.34,20714.96,21255.55,5882.288373,00:00.0,123713531.1,134541,2785.505048,58597761.79,0
7/27/22,21258.08,23113.54,21041.4,22958.18,9128.985083,00:00.0,200696334,217895,4540.562077,99828478.69,0
7/28/22,22961.96,24199.98,22583.33,23849.44,10025.43094,00:00.0,234117938.1,195645,4934.766763,115263742.6,0
7/29/22,23852.08,24439,23433.85,23782.99,8152.005981,00:00.0,194587323,173150,4039.251882,96448650.12,0
7/30/22,23785.01,24683.54,23510.47,23650.19,7101.064772,00:00.0,170650308.4,182986,3472.949353,83461620.68,0
7/31/22,23650.19,24198.18,23232.29,23304.65,5804.269434,00:00.0,137541913.8,245304,2861.399788,67819928.72,0
8/1/22,23308.38,23508.47,22851.9,23275.88,6179.686676,00:00.0,143420914.6,172625,3105.407676,72086675.8,0
8/2/22,23275.68,23466.18,22661.29,22990.75,7307.487244,00:00.0,168077703.3,174004,3572.874042,82197429.02,0
8/3/22,22984.53,23638.99,22689.49,22824.55,8164.154704,00:00.0,189441265.6,161915,4041.262364,93781787.96,0
8/4/22,22820,23226.61,22404.47,22622.27,7171.334543,00:00.0,164065781.2,154414,3491.181527,79863818.52,0
8/5/22,22622.26,23477.06,22589.01,23317.38,6663.063846,00:00.0,153765005.2,176629,3292.750435,75988965.3,0
8/6/22,23319.06,23355.18,22910.75,22959.28,3220.410148,00:00.0,74659084.29,95589,1530.215234,35476355.4,0
8/7/22,22955.27,23400,22854.66,23177.81,2738.6153,00:00.0,63262057.82,77055,1353.9652,31278726.89,0
8/8/22,23176.28,24252.12,23157.35,23816.87,6080.608533,00:00.0,145143355.4,120039,2964.17307,70752359.25,0
8/9/22,23812.12,23931.65,22875,23155.85,5809.397123,00:00.0,135743339.8,104526,2885.701907,67453321.63,0
8/10/22,23155.06,24227.11,22659.4,23964.88,7793.976708,00:00.0,183489285.4,146196,3822.44095,89983908.52,0
8/11/22,23964.5,24922.58,23866.8,23940.07,9575.106603,00:00.0,233686032.3,140339,4653.248765,113589522.3,0
8/12/22,23948.03,24466.92,23596.36,24412.39,6708.131073,00:00.0,161012246.2,89353,3378.679165,81106532.15,0
8/13/22,24414.63,24900.55,24295.8,24458.58,6260.78911,00:00.0,153777926.2,74555,3056.520278,75074733.9,0
8/14/22,24458.57,25036.1,24151.07,24315.55,5005.868863,00:00.0,122638265.5,75376,2482.642466,60826661.32,0
8/15/22,24317.93,25214.66,23780,24096.82,9307.658862,00:00.0,226601201.8,128715,4600.345174,112002467.7,0
8/16/22,24096.25,24260.97,23676.4,23855.35,7287.205811,00:00.0,174530857.1,97695,3565.206038,85391566.38,0
8/17/22,23858.1,24445.57,23180,23335.92,7570.169176,00:00.0,179569436.7,105342,3610.943496,85672437.6,0
8/18/22,23338.66,23599.71,23111.22,23198.25,3614.123878,00:00.0,84559756.49,58528,1773.231843,41496412.87,0
8/19/22,23193.46,23207.34,20785.22,20829.32,13898.42005,00:00.0,301306996.6,135785,6751.269859,146319764.1,0
8/20/22,20832.79,21363.46,20761.75,21141.95,8426.332255,00:00.0,178119865.5,83606,4180.430019,88371464.19,0
8/21/22,21142.87,21781.64,21067.48,21512.28,6606.500788,00:00.0,141308389,72787,3231.767267,69128419.29,0
8/22/22,21511.43,21536.56,20890.32,21397,7700.004849,00:00.0,163564614.9,93167,3732.356687,79284896.37,0
8/23/22,21397,21679.73,20889.11,21528.61,7192.344421,00:00.0,153820705.8,104089,3530.98614,75521890.09,0
8/24/22,21524.52,21890.76,21147.7,21367.42,8260.057259,00:00.0,177615807.4,86584,4130.122456,88807324.43,0
8/25/22,21367.42,21814.51,21311.63,21558.82,6057.432628,00:00.0,130824231.3,68106,2971.955468,64184420.2,0
8/26/22,21558.36,21872.35,20110,20243.48,13095.06348,00:00.0,276216651.8,161762,6411.383295,135230539.6,0
8/27/22,20241.84,20380.32,19800,20039.86,8309.563465,00:00.0,167044376,89958,4004.590687,80511213.58,0
8/28/22,20038.74,20158,19520.19,19552.34,5250.261734,00:00.0,104751232,68852,2599.592075,51875469.41,0
8/29/22,19555.69,20419,19544.89,20290,7323.765069,00:00.0,146479217.9,98424,3626.018663,72523283.21,0
8/30/22,20289.97,20578,19541.13,19812.65,9641.439173,00:00.0,193298510.1,122765,4765.263037,95541438.77,0
8/31/22,19812.65,20486.06,19801.13,20060.32,7300.808548,00:00.0,147382173.8,113316,3591.93115,72510938.85,0
9/1/22,20051.81,20205.83,19564.86,20132.97,7529.674053,00:00.0,150101799.7,121962,3604.767086,71847956.55,0
9/2/22,20132.5,20444,19757.72,19954.16,7392.679014,00:00.0,148562529.3,105706,3653.015902,73410615.06,0
9/3/22,19950.63,20054.69,19658.04,19832.06,3077.135497,00:00.0,61048539.58,57603,1497.711034,29714779.72,0
9/4/22,19834.87,20030.89,19587.86,20002.38,3712.178165,00:00.0,73551378.35,68699,1837.700441,36412986.02,0
9/5/22,19998.77,20058,19635.96,19795.12,4817.489036,00:00.0,95393884.57,72003,2393.577334,47402866.9,0
9/6/22,19795.12,20180.5,18668.9,18790.39,11753.83028,00:00.0,228976200.9,150849,5781.309058,112622749.4,0
9/7/22,18789.4,19462.02,18534.06,19290.53,8092.183326,00:00.0,153366947.6,95816,4024.824166,76272205.42,0
9/8/22,19290.53,19457.69,19012.7,19322.54,8670.453356,00:00.0,166778117.2,90500,4325.825303,83214451.08,0
9/9/22,19322.54,21595.12,19293.64,21360.97,13177.78082,00:00.0,273676947.3,152416,6611.935753,137234144.2,0
9/10/22,21365.97,21812.35,21128.39,21650.6,6646.287573,00:00.0,142413332.4,89227,3358.861871,71986880.65,0
9/11/22,21651.59,21866.5,21359.15,21830,6563.895242,00:00.0,141867763.2,84975,3254.674009,70355236.86,0
9/12/22,21833.63,22497.58,21543.76,22400,10897.08067,00:00.0,240960523.6,169780,5374.377102,118849029.7,0
9/13/22,22397.53,22799.03,19874.92,20173.75,14931.00321,00:00.0,319950633.3,186478,7341.806916,157338820.9,0
9/14/22,20168.82,20533,19610.09,20231,9937.966735,00:00.0,200426676.7,122469,4916.391127,99171667.89,0
9/15/22,20229.11,20333.8,19500,19698.24,10729.86487,00:00.0,214310925.9,124835,5276.008763,105399247.9,0
9/16/22,19705.39,19889.05,19338,19800.4,8547.46479,00:00.0,168030314.7,113140,4244.073827,83444226.37,0
9/17/22,19800.4,20191.71,19742.41,20112.04,6930.601187,00:00.0,138423584.7,68827,3435.227791,68624630.09,0
9/18/22,20112.6,20118.74,19333.2,19417.99,7373.686943,00:00.0,145826159.1,118128,3607.205953,71350382.51,0
9/19/22,19421.93,19682.97,18257.92,19540.33,13609.13654,00:00.0,258902452.5,145670,6630.646054,126170956.7,0
9/20/22,19538.66,19637.58,18724.83,18880.27,13247.7331,00:00.0,253523108.3,136222,6562.064293,125569588.8,0
9/21/22,18875.29,19900,18168,18464.23,19642.80396,00:00.0,374980714.9,193490,9811.881806,187323647.2,0
9/22/22,18464.23,19519.64,18360.98,19403.29,18016.93964,00:00.0,341880593.7,171984,8883.070166,168543513.7,0
9/23/22,19405.29,19498.3,18534.78,19288.36,11672.71788,00:00.0,221527118.9,136964,5801.963616,110125533.1,0
9/24/22,19288.08,19310.2,18810,18921.25,6760.587703,00:00.0,128956611.2,78074,3375.107487,64383563.83,0
9/25/22,18925.45,19174.74,18630.86,18809.61,5927.072745,00:00.0,112265179.9,66805,2926.180589,55433249.06,0
9/26/22,18807.63,19317.16,18687,19226.35,12113.69565,00:00.0,230633815.8,131580,6175.714077,117594829.7,0
9/27/22,19226.11,20380.9,18819.82,19078.74,20959.54451,00:00.0,414308673.1,200955,10352.46051,204668321.4,0
9/28/22,19078.74,19770,18491.67,19414.16,16457.73727,00:00.0,315169731.6,180520,8156.552425,156257887.8,0
9/29/22,19414.33,19640.01,18835.9,19590,15056.9619,00:00.0,291221620.3,176841,7507.200175,145230305.1,0
9/30/22,19595.45,20182.69,19150,19426.64,11506.44206,00:00.0,225028055.3,136655,5838.549604,114192127.9,0
10/1/22,19426.64,19485.46,19165.28,19312.12,3088.845305,00:00.0,59669456.04,46314,1541.269589,29778962.12,0
10/2/22,19313.8,19400,18922.84,19057.74,4830.498555,00:00.0,92574925.21,64230,2352.481857,45089822.09,0
10/3/22,19057.74,19715.86,18964.29,19632.46,10272.01259,00:00.0,198539708.5,119301,5275.978038,101993399,0
10/4/22,19633.48,20457.67,19493.11,20341.67,11694.55113,00:00.0,234017963.3,134809,5856.111911,117183459.9,0
10/5/22,20346.09,20370.18,19741.01,20158.9,10065.46168,00:00.0,202400755.8,124381,4876.252036,98065247.39,0
10/6/22,20162.84,20450.26,19856.97,19962.44,15655.71848,00:00.0,315167952.9,187340,7802.919597,157099369.3,0
10/7/22,19962.77,20067.05,19321.49,19532.6,10978.57215,00:00.0,216666868.9,159821,5388.737141,106372709.1,0
10/8/22,19530.44,19628.83,19248,19419.7,3729.63907,00:00.0,72619287.37,56715,1843.496485,35899110.23,0
10/9/22,19418.07,19560,19321.11,19441.92,3803.215183,00:00.0,73944052.85,58536,1896.403578,36873794.75,0
10/10/22,19441.92,19525.75,19028,19132.28,7601.105535,00:00.0,146697981.5,133718,3750.101172,72386001.56,0
10/11/22,19130.72,19266.48,18859.22,19058.3,9765.695038,00:00.0,186154585.1,168338,4879.042363,93014256.15,0
10/12/22,19055.76,19239.94,18976.05,19153.99,6154.368369,00:00.0,117608930.3,117548,3167.993562,60546843.15,0
10/13/22,19153.6,19507.44,18185.92,19376.75,20358.18923,00:00.0,384520330.3,241175,10004.64363,189042823.5,0
10/14/22,19375.38,19950.88,19077.99,19177.11,16413.81763,00:00.0,320790498.9,193226,8011.279891,156599903.4,0
